case_id,sigma,xi_quantile,runtime_seconds,clusters,noise_rate,internal_metric_points,ari,nmi,silhouette,selection_score,selected
spiral,0.3,0.1,0.16819241600023815,3,0.10576923076923077,279,-0.0027201181688298994,0.006017111179031617,0.3847408467686946,-0.0027201181688298994,False
spiral,0.4,0.1,0.12098170899844263,3,0.10897435897435898,278,-0.0038231940451722147,0.004989765629177373,0.3420413541738549,-0.0038231940451722147,False
spiral,0.3,0.0,0.17017849999683676,4,0.016025641025641024,307,-0.004029710907968055,0.012932111411016153,0.29707014898012746,-0.004029710907968055,False
spiral,0.3,0.01,0.18522070899780374,3,0.035256410256410256,301,-0.0043051640797865135,0.004818945088334305,0.3722671377035664,-0.0043051640797865135,False
spiral,0.3,0.02,0.14638737500354182,3,0.035256410256410256,301,-0.0043051640797865135,0.004818945088334305,0.3722671377035664,-0.0043051640797865135,False
spiral,0.3,0.005,0.17615991599450354,4,0.02564102564102564,304,-0.004500100278664677,0.0067521063407027055,0.27642691164930566,-0.004500100278664677,False
spiral,0.4,0.05,0.10382912499335362,3,0.057692307692307696,294,-0.004533334535260649,0.0043474120484420795,0.3463163272344114,-0.004533334535260649,False
spiral,0.3,0.05,0.18918304199905833,3,0.057692307692307696,294,-0.004555248575367803,0.0031027610893644363,0.3795630210073346,-0.004555248575367803,False
spiral,0.4,0.005,0.12962433299981058,3,0.016025641025641024,307,-0.0048448756117451825,0.007227416662545684,0.3431988711669579,-0.0048448756117451825,False
spiral,0.4,0.0,0.1557160840020515,3,0.01282051282051282,308,-0.004919560780093537,0.005801644543244012,0.3426429367072227,-0.004919560780093537,False
spiral,0.4,0.01,0.11792370899638627,3,0.022435897435897436,305,-0.004972441070624795,0.0038591205584911368,0.34387077135945704,-0.004972441070624795,False
spiral,0.4,0.02,0.11961191699811025,3,0.03205128205128205,302,-0.0050208766198485254,0.002956174251095724,0.34591979988789134,-0.0050208766198485254,False
